"","Observed","Shannon","When"
"F3D0",106,3.86588113478687,"Early"
"F3D1",100,3.99319631630122,"Early"
"F3D141",74,3.42889456443764,"Late"
"F3D142",48,3.11794030992125,"Late"
"F3D143",56,3.29324928094444,"Late"
"F3D144",48,3.01165209609438,"Late"
"F3D145",72,3.1207201861782,"Late"
"F3D146",84,3.62167557320744,"Late"
"F3D147",103,3.34844584401473,"Late"
"F3D148",97,3.44186611983121,"Late"
"F3D149",112,3.65735497617273,"Late"
"F3D150",78,3.54945851488759,"Late"
"F3D2",134,3.57119187404459,"Early"
"F3D3",68,3.05935640635028,"Early"
"F3D5",86,3.76687809937612,"Early"
"F3D6",90,3.41986811045017,"Early"
"F3D7",60,2.98925923640344,"Early"
"F3D8",99,3.72145276820558,"Early"
"F3D9",106,3.76858629928347,"Early"
"Mock",20,2.78082859393614,"Early"
