	SubjectID1	SubjectID2	Group1	Group2	Distance
0	L1S57	L1S8	gut	gut	0.4729553163051605
1	L1S76	L1S8	gut	gut	0.4748551845550537
2	L1S76	L1S57	gut	gut	0.2379953861236572
3	L1S105	L1S8	gut	gut	0.5394825339317322
4	L1S105	L1S57	gut	gut	0.35747030377388
5	L1S105	L1S76	gut	gut	0.360768735408783
6	L1S140	L1S8	gut	gut	0.5584535598754883
7	L1S140	L1S57	gut	gut	0.577854573726654
8	L1S140	L1S76	gut	gut	0.5464064478874207
9	L1S140	L1S105	gut	gut	0.5035973191261292
10	L1S208	L1S8	gut	gut	0.5279178023338318
11	L1S208	L1S57	gut	gut	0.4790416061878204
12	L1S208	L1S76	gut	gut	0.4524572491645813
13	L1S208	L1S105	gut	gut	0.523989200592041
14	L1S208	L1S140	gut	gut	0.5337308645248413
15	L1S257	L1S8	gut	gut	0.4976242780685425
16	L1S257	L1S57	gut	gut	0.4508087038993835
17	L1S257	L1S76	gut	gut	0.4506454765796661
18	L1S257	L1S105	gut	gut	0.5370093584060669
19	L1S257	L1S140	gut	gut	0.5429207682609558
20	L1S257	L1S208	gut	gut	0.2997123301029205
21	L1S281	L1S8	gut	gut	0.5494118928909302
22	L1S281	L1S57	gut	gut	0.4543966054916382
23	L1S281	L1S76	gut	gut	0.4395265281200409
24	L1S281	L1S105	gut	gut	0.519382894039154
25	L1S281	L1S140	gut	gut	0.5013098120689392
26	L1S281	L1S208	gut	gut	0.2295676469802856
27	L1S281	L1S257	gut	gut	0.2792335152626038
28	L1S8	L2S155	gut	left palm	0.8552061319351196
29	L1S8	L2S175	gut	left palm	0.8381260633468628
30	L1S8	L2S204	gut	left palm	0.8559563159942627
31	L1S8	L2S222	gut	left palm	0.8639541864395142
32	L1S8	L2S240	gut	left palm	0.7853924632072449
33	L1S8	L2S309	gut	left palm	0.8004190325737
34	L1S8	L2S357	gut	left palm	0.7707985043525696
35	L1S8	L2S382	gut	left palm	0.8437989354133606
36	L1S57	L2S155	gut	left palm	0.8700732588768005
37	L1S57	L2S175	gut	left palm	0.8582572340965271
38	L1S57	L2S204	gut	left palm	0.850611686706543
39	L1S57	L2S222	gut	left palm	0.8519583344459534
40	L1S57	L2S240	gut	left palm	0.8239015340805054
41	L1S57	L2S309	gut	left palm	0.8285061717033386
42	L1S57	L2S357	gut	left palm	0.7952020764350891
43	L1S57	L2S382	gut	left palm	0.8570882081985474
44	L1S76	L2S155	gut	left palm	0.8761792182922363
45	L1S76	L2S175	gut	left palm	0.8542225360870361
46	L1S76	L2S204	gut	left palm	0.8505846858024597
47	L1S76	L2S222	gut	left palm	0.8501749634742737
48	L1S76	L2S240	gut	left palm	0.8259691596031189
49	L1S76	L2S309	gut	left palm	0.8362026810646057
50	L1S76	L2S357	gut	left palm	0.7937304973602295
51	L1S76	L2S382	gut	left palm	0.8569978475570679
52	L1S105	L2S155	gut	left palm	0.8351038098335266
53	L1S105	L2S175	gut	left palm	0.8168045282363892
54	L1S105	L2S204	gut	left palm	0.8259502053260803
55	L1S105	L2S222	gut	left palm	0.8208760619163513
56	L1S105	L2S240	gut	left palm	0.7746386528015137
57	L1S105	L2S309	gut	left palm	0.7894285917282104
58	L1S105	L2S357	gut	left palm	0.8064736723899841
59	L1S105	L2S382	gut	left palm	0.8149044513702393
60	L1S140	L2S155	gut	left palm	0.8122774958610535
61	L1S140	L2S175	gut	left palm	0.7719535231590271
62	L1S140	L2S204	gut	left palm	0.8129656910896301
63	L1S140	L2S222	gut	left palm	0.8175129294395447
64	L1S140	L2S240	gut	left palm	0.675586998462677
65	L1S140	L2S309	gut	left palm	0.7633653283119202
66	L1S140	L2S357	gut	left palm	0.7621203660964966
67	L1S140	L2S382	gut	left palm	0.7512791156768799
68	L1S208	L2S155	gut	left palm	0.8465239405632019
69	L1S208	L2S175	gut	left palm	0.8303959965705872
70	L1S208	L2S204	gut	left palm	0.8443412184715271
71	L1S208	L2S222	gut	left palm	0.8428555130958557
72	L1S208	L2S240	gut	left palm	0.7728868126869202
73	L1S208	L2S309	gut	left palm	0.8250145316123962
74	L1S208	L2S357	gut	left palm	0.7970971465110779
75	L1S208	L2S382	gut	left palm	0.8302038908004761
76	L1S257	L2S155	gut	left palm	0.8475327491760254
77	L1S257	L2S175	gut	left palm	0.8371683955192566
78	L1S257	L2S204	gut	left palm	0.8390534520149231
79	L1S257	L2S222	gut	left palm	0.836901068687439
80	L1S257	L2S240	gut	left palm	0.7950619459152222
81	L1S257	L2S309	gut	left palm	0.8080536723136902
82	L1S257	L2S357	gut	left palm	0.7967061400413513
83	L1S257	L2S382	gut	left palm	0.824836015701294
84	L1S281	L2S155	gut	left palm	0.8709356188774109
85	L1S281	L2S175	gut	left palm	0.8546985387802124
86	L1S281	L2S204	gut	left palm	0.8621239066123962
87	L1S281	L2S222	gut	left palm	0.857430100440979
88	L1S281	L2S240	gut	left palm	0.8114898800849915
89	L1S281	L2S309	gut	left palm	0.8377569913864136
90	L1S281	L2S357	gut	left palm	0.8249126076698303
91	L1S281	L2S382	gut	left palm	0.853274941444397
92	L1S8	L3S294	gut	right palm	0.8483701944351196
93	L1S8	L3S313	gut	right palm	0.7602707743644714
94	L1S8	L3S378	gut	right palm	0.4346410930156708
95	L1S8	L4S63	gut	right palm	0.8784799575805664
96	L1S8	L4S112	gut	right palm	0.835778534412384
97	L1S8	L4S137	gut	right palm	0.8548054695129395
98	L1S57	L3S294	gut	right palm	0.8711915612220764
99	L1S57	L3S313	gut	right palm	0.7878841757774353
100	L1S57	L3S378	gut	right palm	0.5937715172767639
101	L1S57	L4S63	gut	right palm	0.8855447173118591
102	L1S57	L4S112	gut	right palm	0.8368294835090637
103	L1S57	L4S137	gut	right palm	0.871867835521698
104	L1S76	L3S294	gut	right palm	0.8701335191726685
105	L1S76	L3S313	gut	right palm	0.7851694822311401
106	L1S76	L3S378	gut	right palm	0.5442893505096436
107	L1S76	L4S63	gut	right palm	0.8881564140319824
108	L1S76	L4S112	gut	right palm	0.8395103216171265
109	L1S76	L4S137	gut	right palm	0.8679081201553345
110	L1S105	L3S294	gut	right palm	0.8392452001571655
111	L1S105	L3S313	gut	right palm	0.7220940589904785
112	L1S105	L3S378	gut	right palm	0.5314310193061829
113	L1S105	L4S63	gut	right palm	0.8433132171630859
114	L1S105	L4S112	gut	right palm	0.8043105006217957
115	L1S105	L4S137	gut	right palm	0.8199934363365173
116	L1S140	L3S294	gut	right palm	0.7799769043922424
117	L1S140	L3S313	gut	right palm	0.6758538484573364
118	L1S140	L3S378	gut	right palm	0.351996511220932
119	L1S140	L4S63	gut	right palm	0.8379656672477722
120	L1S140	L4S112	gut	right palm	0.8041626811027527
